heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
0,3914770608759801_right,3914770608759801_right,-7.29983317682066,112.751478552818,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
103.778897511635,1111006743586612_right,1111006743586612_right,-7.30379725837102,112.751666307449,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
272.138408205284,604715158635616_right,604715158635616_right,-7.29891265352747,112.751188874245,1,,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
106.951161739189,490179343653374_right,490179343653374_right,-7.3040047730814,112.752476334572,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
290.034906920585,2976786512487613_right,2976786512487613_right,-7.30300976577313,112.74850666523,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
107.487351141255,1593799485348949_right,1593799485348949_right,-7.30341415403721,112.753495573997,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
184.202174367211,2056246624886613_right,2056246624886613_right,-7.30058342850808,112.750609517097,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
111.607027847232,604035222005006_right,604035222005006_right,-7.30271179523922,112.750840187073,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
103.498069822443,1110461150399273_right,1110461150399273_right,-7.30413779528099,112.752948403358,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
286.069088881121,1380949739542331_right,1380949739542331_right,-7.30268519071763,112.752347588539,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
30.758374420546,478867221904766_right,478867221904766_right,-7.30096121434231,112.751242518425,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
286.684982328979,565527869636185_right,565527869636185_right,-7.30291398955175,112.753259539604,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
299.946342521005,1181312803353497_right,1181312803353497_right,-7.30319067635754,112.754418253899,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
99.8055012482041,1119986626578927_right,1119986626578927_right,-7.29849229833002,112.755287289619,1,,data/mapillary_images_new/t7ONjKynz6e5I4fvDqAYBW/right
16.5712197585387,564190649726701_right,564190649726701_right,-7.30337690776503,112.749735116959,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
291.962776418621,1103611431237147_right,1103611431237147_right,-7.30220098814767,112.750496864319,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
141.237014130947,1101008964651579_right,1101008964651579_right,-7.30256280989779,112.750217914581,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
269.999999823344,1110895100584972_right,1110895100584972_right,-7.30188173341911,112.752626538277,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
103.344903082706,795206086113036_right,795206086113036_right,-7.30139220905926,112.75316298008,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
284.583618195872,904311621911398_right,904311621911398_right,-7.30315343006673,112.754257321358,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
287.955160911963,1977924746032715_right,1977924746032715_right,-7.29929044077294,112.748715877533,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
283.344928167191,8941498429231049_right,8941498429231049_right,-7.3022808017942,112.754284143448,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
